,original,triangular n=50,"geometrical n=50, beta=0.1","geometrical n=50, beta=0.2","geometrical n=50, beta=0.3","geometrical n=50, beta=0.4","geometrical n=50, beta=0.5","geometrical n=50, beta=0.6","geometrical n=50, beta=0.7","geometrical n=50, beta=0.8","geometrical n=50, beta=0.9"
A-n32-k5,843.6881693466261,1504.9296895315151,827.1648236901583,801.5043368385675,826.1074897413423,822.2360583709974,806.7682614991425,825.8746576393468,830.6709206433092,833.8609220304476,833.8609220304476
A-n38-k5,768.1318037906823,1557.4257017121442,785.8576231458875,767.1417742444141,766.2248715351036,766.2248715351034,766.2248715351036,766.2248715351036,766.2248715351036,766.2248715351041,766.2248715351036
A-n45-k7,1199.9759634376983,2021.7568387799129,1183.3876807991223,1175.9756113948138,1167.5417352867187,1164.9455346695222,1167.1639146334433,1167.1639146334433,1182.4862662787366,1179.1950983161532,1182.4862662787375
A-n55-k9,1099.839530864583,2346.3387108989996,1132.8521845810037,1113.9007335088017,1101.5977911866667,1096.384099663987,1098.9182439905699,1098.9053856934345,1098.9053856934345,1096.384099663987,1099.839530864583
A-n60-k9,1421.8826011092533,2773.6834861467687,1409.5106920262285,1382.0508602589437,1380.8027349814042,1369.457850535664,1368.305499852013,1369.5065067808048,1369.069291652748,1369.7623699741166,1411.468116778004
A-n61-k9,1102.2257523843734,2297.090600789606,1082.3628007505774,1054.093141699577,1054.0550177935515,1051.0614622355067,1056.6953671373426,1056.6953671373421,1058.7960276256329,1058.796027625633,1058.796027625633
A-n65-k9,1239.420282137327,2778.9929672702083,1201.2361077280864,1202.1049806773885,1229.2518881257315,1197.520172412257,1239.0567975295862,1239.4202821373265,1239.4202821373265,1239.4202821373265,1239.4202821373267
A-n80-k10,1860.9424980238114,4018.154636252916,1821.711781349546,1811.028056749444,1810.3330848745727,1810.492892417722,1809.9471084450433,1809.8559659506554,1809.4508132917063,1845.7334699002415,1850.033122396946
B-n50-k7,748.8007847147744,1940.641199362664,782.2184349082397,758.4185925074536,750.5735115842598,747.6954261396093,745.6098284666106,744.3390151495407,744.5505178882502,744.3390151495407,745.1600320380335
B-n52-k7,764.8989122998329,2034.9926559650594,767.7517670705458,761.1852362193655,762.0320770346383,762.008771007334,762.9621704464072,762.197195438455,762.9621704464085,762.9621704464085,762.9621704464085
B-n57-k9,1653.4238667610891,2792.3948325066017,1643.1704673580816,1608.928996652085,1650.6686966454954,1649.81208775632,1649.4828731559576,1650.8798293924067,1652.186936695157,1652.186936695157,1652.186936695157
B-n78-k10,1264.555104458118,3183.94090567695,1282.6315116631868,1269.456409835894,1260.5904236743293,1261.746867512388,1264.157215805743,1260.3812907806157,1264.157215805743,1264.157215805743,1264.157215805743
E-n22-k4,388.77228583912915,580.1096568723792,390.6362440702731,387.54295604696443,385.285387943064,387.5429560469643,387.54295604696443,387.5429560469642,388.7722858391289,387.54295604696443,388.77228583912915
E-n30-k3,534.4482364968426,1069.4773822684208,544.456118878054,512.6505685572251,510.60496886024583,508.45504391614367,506.6719670366652,505.0110791455377,512.8188330003574,513.7967981323993,513.7967981323993
E-n33-k4,843.0977933340914,1265.6830383558515,875.405680443021,860.4330762814427,843.0977933340905,842.8024176052018,843.0977933340914,842.8024176052013,842.8024176052013,842.8024176052013,842.8024176052013
E-n51-k5,584.6372084179401,1233.3488970431304,573.4119287889735,551.6048270064563,564.8524616154534,576.1466086309836,572.790051723741,577.0913478563887,579.5376226671268,584.6372084179396,584.6372084179401
E-n76-k10,907.3923759634118,2071.029806348059,895.6093761154676,874.9603258853467,874.7928854901871,875.1342722161785,866.2994818492983,862.8115265071466,877.2918641719997,886.7622263921648,887.5721995364561
E-n76-k14,1054.5993681612335,2085.5106609819863,1077.7606507896437,1060.4738961521443,1059.0479130520034,1052.3331204325468,1052.3331204325464,1054.5993681612335,1054.5993681612335,1054.5993681612335,1054.5993681612335
E-n76-k7,738.1324472633808,1908.9655819639963,741.0559153186803,729.3585192763541,732.1540731546893,730.2290060936178,730.2340300654821,727.9797621865818,730.2340300654812,730.2340300654816,730.2340300654812
F-n135-k7,1219.320968775061,4744.38794083376,1227.8577227125704,1206.2147752257335,1217.2113807021265,1217.4166760829862,1212.6332176876463,1215.914919213135,1214.8826716620074,1216.816904933838,1216.2405561120563
F-n45-k4,739.018681607349,1809.7094983454308,775.1560170619061,734.6062851982833,730.564161161753,729.508153993434,729.1394127020355,730.0393225809377,730.7792604414011,738.4780850105751,739.0186816073481
F-n72-k4,256.1862087461052,874.5898718699943,261.6851206084515,255.82329815776058,256.2309390105132,255.0197037053306,254.86901707664322,254.86901707664276,254.86901707664276,254.86901707664322,254.86901707664322
M-n101-k10,833.5085732089905,3156.6697952172785,856.7094389599687,837.831954121661,834.903021933525,833.50857320899,826.2611056232703,832.4952489622311,830.4032412470009,830.4032412470009,833.5085732089905
M-n121-k7,1068.140694507969,5105.485610253143,1073.24235422902,1066.5755256623627,1059.454918939172,1062.0604702146331,1058.6108216029381,1059.4549189391703,1059.4549189391703,1068.140694507969,1068.140694507969
P-n101-k4,765.3793981291958,2532.8822490476755,745.5615645683531,734.2961511231294,753.8032893912499,744.8711029715362,763.4872253160104,762.4994019612844,762.4994019612844,764.2134968595826,764.2134968595826
P-n22-k8,590.6210234857076,734.4215253338609,600.0937400665355,590.3539128443349,588.7935242586068,588.7935242586068,588.793524258607,588.793524258607,588.7935242586068,588.793524258607,588.793524258607
P-n40-k5,518.3720297625707,937.0446990183011,500.2770696277371,477.0484494731109,483.9589477898567,493.27787756316064,493.232818008084,503.7461365949795,494.95574930011776,483.95894778985684,503.7461365949795
P-n50-k10,739.8375820731868,1350.6689108436235,731.8350980070499,712.2372862305825,716.059512978634,722.0357791285818,714.2187168290283,714.2187168290287,722.0357791285818,722.035779128582,722.0357791285818
P-n55-k15,978.0679667816736,1531.3358286406258,989.8131254709754,974.61318130769,968.7955848553992,960.7623672649434,962.7928303737125,968.7106553251689,968.7106553251684,968.7106553251689,978.0679667816736
P-n65-k10,851.6670635731383,1747.7086448048865,829.4905997611859,826.9597397237599,817.774077163152,831.1967390020187,826.1160297394636,835.5676700052883,831.2337266385576,836.9640547231368,844.6082844398704
P-n70-k10,896.8628075110696,1952.0490651834389,877.3432367016992,867.6046765782719,859.7990961427556,863.6776180271495,871.9439962053352,876.4200347266162,872.379643631738,878.4273111006057,880.2294629295882
P-n76-k4,688.3428122305361,1952.4438966093362,667.3978141354318,643.5281724916465,648.2001972854687,647.3931877237916,640.0703330182446,654.015799649174,655.8997655607733,655.8997655607733,668.7852774749601
P-n76-k5,709.375219580286,1855.656453021422,685.9355948170243,671.5496789367247,667.8164554812331,677.1341873971551,678.2615009406915,674.6007131303422,675.1407166418542,675.1407166418542,698.5111782204987
